_id,timestamp,device_id,battery_start,battery_end,double_end_timestamp
430,1500074537378,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074537686
431,1500074539582,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074546563
432,1500074748501,94311892-eecf-4de6-b127-2639da1764a7,100,100,1500074749438
52,1500078399422,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,52,1500097784205
53,1500110438796,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,54,1500117432363
573,1500112902321,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500112903052
574,1500112905020,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500112905068
575,1500112905524,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500112905648
576,1500112905852,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500112906123
577,1500114160413,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500114161288
578,1500114161945,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500114162337
1153,1500115571042,d58c3cb9-2543-4258-8695-ac3e310ba3ac,99,7,1500204200888
579,1500116672681,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500116672853
580,1500116673145,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500116673289
581,1500116682141,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500116684732
582,1500116685093,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500116685115
583,1500118217997,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,100,1500118218306
584,1500118218425,815717e9-cd15-4d4e-b35c-a0206bc0aa24,100,23,1500181032715
54,1500119967854,0c735596-1a1c-4a35-bb02-55d90c4f86ac,72,54,1500130191057
55,1500168318255,0c735596-1a1c-4a35-bb02-55d90c4f86ac,100,58,1500194262561
433,1500172338348,94311892-eecf-4de6-b127-2639da1764a7,29,29,1500172340274
434,1500172688847,94311892-eecf-4de6-b127-2639da1764a7,32,32,1500172689756
435,1500172690488,94311892-eecf-4de6-b127-2639da1764a7,32,32,1500172691744
436,1500172906442,94311892-eecf-4de6-b127-2639da1764a7,33,33,1500172907516
437,1500172909042,94311892-eecf-4de6-b127-2639da1764a7,33,33,1500172909526
438,1500175272151,94311892-eecf-4de6-b127-2639da1764a7,53,53,1500175273354
439,1500175843884,94311892-eecf-4de6-b127-2639da1764a7,57,57,1500175845155
440,1500175850262,94311892-eecf-4de6-b127-2639da1764a7,57,58,1500175987653
441,1500177355647,94311892-eecf-4de6-b127-2639da1764a7,69,69,1500177356940
442,1500177386667,94311892-eecf-4de6-b127-2639da1764a7,69,70,1500177387994
443,1500177389361,94311892-eecf-4de6-b127-2639da1764a7,70,70,1500177389941
444,1500177390633,94311892-eecf-4de6-b127-2639da1764a7,70,70,1500177391818
445,1500177394351,94311892-eecf-4de6-b127-2639da1764a7,70,27,1500213105480
585,1500181153496,815717e9-cd15-4d4e-b35c-a0206bc0aa24,24,17,1500206993539
56,1500200777894,0c735596-1a1c-4a35-bb02-55d90c4f86ac,82,82,1500200781385
57,1500201088708,0c735596-1a1c-4a35-bb02-55d90c4f86ac,83,77,1500201445862
58,1500202643333,0c735596-1a1c-4a35-bb02-55d90c4f86ac,81,24,1500208556849
586,1500206999680,815717e9-cd15-4d4e-b35c-a0206bc0aa24,17,17,1500207026065
587,1500207062371,815717e9-cd15-4d4e-b35c-a0206bc0aa24,17,17,1500207108243
588,1500207108407,815717e9-cd15-4d4e-b35c-a0206bc0aa24,17,17,1500207109404
589,1500207143233,815717e9-cd15-4d4e-b35c-a0206bc0aa24,18,18,1500207143944
1154,1500207841969,d58c3cb9-2543-4258-8695-ac3e310ba3ac,84,76,1500209357603
590,1500208517223,815717e9-cd15-4d4e-b35c-a0206bc0aa24,33,33,1500208518438
591,1500208519008,815717e9-cd15-4d4e-b35c-a0206bc0aa24,33,33,1500208519096
592,1500208758462,815717e9-cd15-4d4e-b35c-a0206bc0aa24,34,34,1500208766192
593,1500208768618,815717e9-cd15-4d4e-b35c-a0206bc0aa24,34,34,1500208768810
1155,1500209399572,d58c3cb9-2543-4258-8695-ac3e310ba3ac,77,77,1500209407671
594,1500209851023,815717e9-cd15-4d4e-b35c-a0206bc0aa24,46,41,1500215136632
59,1500210221927,0c735596-1a1c-4a35-bb02-55d90c4f86ac,36,36,1500210266512
1156,1500213138715,d58c3cb9-2543-4258-8695-ac3e310ba3ac,100,3,1500247399750
446,1500213973614,94311892-eecf-4de6-b127-2639da1764a7,35,35,1500213975551
447,1500213978134,94311892-eecf-4de6-b127-2639da1764a7,35,35,1500213990744
448,1500213993821,94311892-eecf-4de6-b127-2639da1764a7,35,35,1500213994215
449,1500213994950,94311892-eecf-4de6-b127-2639da1764a7,35,35,1500214006982
450,1500214007708,94311892-eecf-4de6-b127-2639da1764a7,35,35,1500214026892
451,1500214028445,94311892-eecf-4de6-b127-2639da1764a7,35,35,1500214057180
