_id,timestamp,device_id,package_name,application_name,application_version,error_short,error_long,error_condition,is_system_app
152,1501177710017,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,com.android.keyguard,64191600,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,0
153,1501177714919,08da45e3-bc56-4425-bad2-55d191676b79,com.facebook.katana,"Android System",64191600,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,0
93,1501185105040,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
94,1501185108288,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,KeyguardTestActivity,451900,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
95,1501189592449,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,WhatsApp,451900,"ANR Input dispatching timed out (Waiting because the touched window has not finished processing the input events that were previously delivered to it.)",0,2,0
96,1501189609939,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)",0,2,0
97,1501195082183,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)",0,2,0
98,1501195433748,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,KeyguardTestActivity,451900,"ANR Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)",0,2,0
99,1501195494844,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because no window has focus but there is a focused application that may eventually add a window when it finishes starting up.)",0,2,0
79,1501201010362,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting to send non-key event because the touched window has not finished processing certain input events that were delivered to it over 500.0ms ago.  Wait queue length: 39.  Wait queue head age: 5511.7ms.)",0,2,0
100,1501206399868,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
101,1501207792512,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,KeyguardTestActivity,451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
80,1501209696185,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451900,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
172,1501250793878,d58c3cb9-2543-4258-8695-ac3e310ba3ac,com.android.settings,"Android system",23,"ANR Broadcast of Intent { act=android.intent.action.SCREEN_OFF flg=0x50000010 (has extras) }",0,2,1
81,1501282589999,815717e9-cd15-4d4e-b35c-a0206bc0aa24,com.whatsapp,"Sistema Android",451900,"ANR Broadcast of Intent { act=com.google.android.c2dm.intent.RECEIVE flg=0x10000010 pkg=com.whatsapp cmp=com.whatsapp/.gcm.GcmReceiver (has extras) }",0,2,0
102,1501288474888,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
103,1501288483296,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,KeyguardTestActivity,451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
104,1501288488173,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
105,1501291188833,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
106,1501294245781,3a915327-f2f0-4e05-ae5c-179b2ccfaec2,com.whatsapp,"Sistema Android",451900,"ANR Input dispatching timed out (Waiting because the focused window has not finished processing the input events that were previously delivered to it.)",0,2,0
